Name,UFCO_2,HANF_1,FICO_1,WOCA_1,SCHO_1,EGSH_2,EGWA_2,EGSH_1,TWCA_2,SWCA_1,HOSP_2,HANF_2,TWCA_1,SCHO_2,HOSP_1,UFCO_1,NURH_1,EGWA_1,RWCO_1,RWCO_2,WOCA_2,NURH_2,RFSC_2,SWCA_2,RFSC_1,FICO_2
Acinetobacter sp MII,0,0,6.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001265234,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp NIPH 2171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000233514,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp NIPH 713,0.035781787,0,0.001999811,0,0,0,0,0,8.32E-05,0,0,0,0.000102409,0,0,0.035422339,0,0,0.000138604,0,0,0,0.000296198,0,0.000446643,0.0026089
Acinetobacter sp NIPH 899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000425124,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp P8 3 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000972919,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp Ver3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077624,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp YZS X1 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000272377,0,0,0,0,0,0,0,0,0,0
Acinetobacter towneri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22E-05,0,0,0,0,0,0,0,0,0,0
Acinetobacter venetianus VE C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333036,0,0,0,0,0,0,0,0,0,0
Actinomyces johnsonii F0510,0,0,0,0,0.000214029,0,0,0,0,0,0,0,0,0.000445438,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces naeslundii str Howell 279,0,0,0,0,0.000151628,0,0,0,0,0,0,0,0,0.000243766,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces sp MS2,0.000457657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000550668,0,0,0,0,0,0,0,0,0,0
Actinomyces sp oral taxon 175 str F0384,0,0,0,0,0.000190385,0,0,0,0,0,0,0,0,0.000332038,0,0,0,0,0,0,0,0,0,0,0,0
Aequorivita capsosiphonis DSM 23843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000278305,0
Aerococcus urinaeequi DSM 20341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60E-05,0,0.000129561,0
Aggregatibacter segnis ATCC 33393,0,0,0,0,0.000522997,0,0,0,0,0,0,0,0,0.001107218,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter sp oral taxon 458 str W10330,0,0,0,0,0.000110051,0,0,0,0,0,0,0,0,0.000253333,0,0,0,0,0,0,0,0,0,0,0,0
Alcaligenes faecalis subsp faecalis NBRC 13111,0,0,0.000206363,0,0,0,0,0,0.000515318,0,0,0,0.000570129,0,0,0,0,0,0.000666644,0.00078068,0,0,0,0,0,0.000276309
Alcaligenes faecalis subsp faecalis NCIB 8687,0.001419582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001478134,0,0,0,0,0,0,0,0,0,0
Aminobacter sp J41,0.003064588,0,0.000600996,0,0,0,0,0,0.000241384,0,0,0,0.000270885,0,0,0.003185897,0,0,0,0,0,0,0,0,0,0.000827669
Aminobacterium mobile DSM 12262,0.00032566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359058,0,0,0,0,0,0,0,0,0,0
Amphibacillus xylanus NBRC 15112,0,0,0.000224228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000298695
Anoxybacillus flavithermus TNO 09 006,0,0,0,0,0.000205714,0,0,0,0,0,0,0,0,0.000392118,0,0,0,0,0,0,0,0,0,0,0,0
Aquamicrobium defluvii,0.000324629,0,0.000152387,0,0,0,0,0,0.000142124,0,0,0,0.000171312,0,0,0.000347061,0,0,0,0,0,0,0,0,0,0.000195944
Arenibacter certesii DSM 19833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001303673,0,0,0,0,0,0,0,0
Arthrobacter arilaitensis Re117,0,0,0.001435909,0.00645512,0,0.00036446,0.000258497,0.000368506,0.000964211,0.000264224,0,0,0.001119251,0,0,0,0,0.001000651,0,0,0.0078728,0,0.000636084,0.000208951,0.000990123,0.002030374
Arthrobacter gangotriensis Lz1y,0,0,0.000367532,0,0,0.030332464,0.028337175,0.029929026,0,0,0,0,0,0,0,0,0,0.110116907,0.000859582,0.000884616,0,0,0.030215766,0,0.049119717,0.000466971
Arthrobacter sp A3,0,0,0,0,0,0,0,0.000539979,0,0,0.000226038,0,0,0,0.001425469,0,0,0.001352276,0,0,0,0,0,0,0.000277998,0
Arthrobacter sp PAMC25486,0,0,0,0,0,0.002535208,0.001634887,0.002528761,0,0,0,0,0,0,0,0,0,0.006322303,0,0,0,0,0.000267327,0,0.000441514,0
Arthrobacter sp W1,0,0,0,0.000238131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillaceae bacterium MTCC 10057,0,0,4.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000142947,0,0,0,0,0,0,0,0,0,0
Bacillaceae bacterium MTCC 8252,7.14E-05,0,5.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,8.67E-05,0,0,0,0,0,0,0,0,0,7.07E-05
Bacillus amyloliquefaciens strain X1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001111785,0,0,0,0,0.000737519,0,0,0,0
Bacillus amyloliquefaciens subsp plantarum TrigoCor1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06E-05,0,0,0,0,0,0,0,0,0
Bacillus badius strain MTCC 30822,0.000318854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000341316,0,0,0,0,0,0,0,0,0,0
Bacillus coagulans 2 6,5.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus fordii DSM 16014 CIP 108821,0.001289029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012823,0,0,0,0,0,0,0,0,0,0
Bacillus isronensis B3W22,0.000411252,0,0.000159958,0,0,0,0,0,0,0,0,0,0,0,0,0.000475308,0,0,0,0,0,0,0,0,0,0
Bacillus pumilus strain 7P,0,2.66E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus smithii 7 3 47FAA,0.000471269,0,0.000535211,0,0,0,0,0,0,0,0,0,0,0,0,0.000505046,0,0,0,0,0,0,0,0,0,0.000694608
Bacillus sp J13,0.000569029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055844,0,0,0,0,0,0,0,0,0,0
Bacillus sp OxB 1,0,0,0.000325366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000475649
Bacillus subtilis subsp subtilis str BAB 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28E-05,0,0,0,0,8.31E-06,0,0,0,0
Bacillus thermoamylovorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000286044,0.000276751,0,0,0,0,0,0
Bacillus thermoamylovorans strain B4064,0.000300498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000313436,0,0,0,0,0,0,0,0,0,0
Bacillus thermotolerans strain SGZ 8,0.00021965,0,8.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000186372,0,0,0,0,0,0,0,0,0,0.000100487
Bacteroides barnesiae DSM 18169 JCM 13652,0,0,0,0,0,0.00051323,0.004561952,0.000488042,0,0,0,0,0,0,0,0,0,0.018038665,0,0,0,0,0,0,0,0
Bacteroides coprocola DSM 17136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000550829,0,0,0,0,0,0,0,0
Bacteroides coprophilus DSM 18228 JCM 13818,0,0,0,0,0,0,0.000123033,0,0,0,0,0,0,0,0,0,0,0.000482719,0,0,0,0,0,0,0,0
Bacteroides coprosuis DSM 18011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000269427,0.000249879,0,0,0,0,0,0
Bacteroides fragilis str 2 F 2 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32E-05,0,0,0,0,0,0,0,0
Bacteroides plebeius DSM 17135,0,0,0,0,0,0,0.00016058,0,0,0,0,0,0,0,0,0,0,0.000649853,0,0,0,0,0,0,0,0
Bacteroides reticulotermitis JCM 10512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395239,0.00042254,0,0,0,0,0,0
Bacteroides salanitronis DSM 18170,0,0,0,0,0,0.000599758,0.002509822,0.000629885,0,0,0,0,0,0,0,0,0,0.009795238,0,0,0,0,0,0,0,0
Barnesiella viscericola DSM 18177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000540084,0,0,0,0,0,0,0,0
Bhargavaea cecembensis DSE10,0,0,0.000402733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000556265
Bifidobacterium gallinarum,0,0,0,0,0,0,5.60E-07,9.49E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium pullorum,0,0,0,0,0,9.15E-05,6.09E-05,9.93E-05,0,0,0,0,0,0,0,0,0,0.000249791,0,0,0,0,0,0,0,0
Bifidobacterium saeculare DSM 6531 LMG 14934,0,0,0,0,0,0.000110993,8.43E-05,0.000124011,0,0,0,0,0,0,0,0,0,0.00031476,0,0,0,0,0,0,0,0
Bifidobacterium thermacidophilum subsp porcinum DSM 17755,0.002224967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002109907,0,0,0,0,0,0,0,0,0,0
Bifidobacterium thermophilum DSM 20210,0.001293154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001251548,0,0,0,0,0,0,0,0,0,0
Blautia sp KLE 1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112533,0
Brachybacterium faecium DSM 4810,0,0,0,0,0,0.000432189,0.000210761,0.000452378,0,0,0,0,0,0,0,0,0,0.000884269,0,0,0,0,0.000529918,0,0.000872769,0
Brachybacterium paraconglomeratum LC44,0,0,0,0,0,0,0.000110348,0.000237173,0.000256997,0,0,0,0.000320881,0,0,0,0,0.000460898,0,0,0,0,0.000275805,0,0.000475161,0
Brevibacillus panacihumi W25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000385586,0,0,0,0,0,0,0,0,0,0
Brevibacterium linens BL2,0,0,0,0.000218372,0,0.000244472,0,0.000238122,0,0,0,0,0,0,0,0,0,0.000347327,0,0,0.000263989,0,0,0,0,0
Brevibacterium linens strain AE038 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000306738,0,0.000473109,0
Brevundimonas naejangsanensis,0,0,0,0,0,0,0,0,0,0,0,0,0.000166165,0,0,0,0,0,0,0,0,0,0,0,0,0
Brochothrix thermosphacta DSM 20171 FSL F6 1036,0,0,0,0,0,0,0,0,0,0,0.000850716,0,0,0,0.005457387,0,0,0,0,0,0,0,0,0,0,0
Burkholderiales Order 15 3404 Node 25753,0,0,0,1.02E-06,0,0,0,0,0,7.09E-07,0,0,0,0,0,0,0,0,0,0,1.30E-06,0,0,7.71E-07,0,0
Burkholderiales Order 15 3500 Node 25089,6.60E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderiales Order 15 6136 Node 25777,0,0,0,0,0,0,0,0,0,0,8.59E-05,0,0,0,0.000572513,0,0,0,0,0,0,0,0,0,0,0
Burkholderiales Order 15 6220 Node 24645,0,0,2.42E-06,0,0,0,0,0,0,0,0,0,0,0,0,2.53E-06,0,0,0,0,0,0,0,0,0,0
Burkholderiales Order 15 6252 Node 24794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52E-06,0,0,0,0,0,0,0,0,0,0
Burkholderiales Order 15 6366 Node 25096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72E-06,0,0,0,0,0,0,0,0,0,0
Capnocytophaga sp oral taxon 329 str F0087,0,0,0,0,0.00023225,0,0,0,0,0,0,0,0,0.000483068,0,0,0,0,0,0,0,0,0,0,0,0
Carnobacterium divergens DSM 20623,0,0,0,0,0.025393031,0,0,0,0,0,0,0,0,0.051746094,0,0,0,0,0,0,0,0,0,0,0,0
Carnobacterium inhibens DSM 13024,0.000172627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000177924,0,0,0.000343411,0.000315978,0,0,0.000375861,0,0.000621443,0
Carnobacterium jeotgali MS3,3.77E-05,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.63E-05,0,0,0,6.18E-06,0,0,1.23E-05,0,2.54E-05,9.81E-06
Carnobacterium mobile DSM 4848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000262915,0,0,0,0,0,0,0,0,0,0
Carnobacterium sp 17 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002335299,0.002277639,0,0,0.013133295,0,0.022468773,0
Carnobacterium sp AT7,0.001271292,0,0.000275176,0,0,0,0,0,0,0,0,0,4.13E-05,0,0,0.001398381,0,0,0.00017342,0,0,0,0,0,0.000600926,0.000331898
Carnobacterium sp WN1374,0,0,0,0,0,0,7.85E-05,0,0,0,0,0,0,0,0,0,0,0.000333109,0.000397613,0,0,0,0,0,0.001889153,0
Castellaniella defragrans 65Phen,0,0,0.000235205,0,0,0,0,0,0,0,0,0,0.000218472,0,0,0,0,0,0.000511028,0.000553194,0,0,0,0,0,0
Catenibacterium mitsuokai DSM 15897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000646014,0,0.001151177,0
Cedecea neteri strain SSMD04,0,0,0,0,0,0,0,0,0,0,8.88E-05,0,0,0,0.00051315,0,0,0,0,0,0,0,0,0,0,0
Chelatococcus sp GW1,0.000498906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000521774,0,0,0,0,0,0,0,0,0,0
Chlamydia psittaci 08 2626 L3,0,0,0,0,2.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlamydia psittaci 10 743 SC13,0,0.000765732,0,0,0,3.96E-05,5.82E-05,4.12E-05,0,0,0,8.24E-05,0,0,0,0,0.001249239,0.000253593,0,0,0,0.000831911,0,0,0,0
Christensenella Family Node 1,0.00061729,0,0.000125059,2.93E-05,0,0.000135098,0,0.000121638,2.09E-05,2.62E-05,0,0,2.14E-05,0,0,0.000648331,0,0,0.000135439,0.000156599,3.15E-05,0,8.52E-05,1.62E-05,0.000148026,0.000165383
Christensenella timonensis Marseille P2437,0,0,0,0,0,0,0.000177799,0,0,0,0,0,0,0,0,0,0,0.000687214,0,0,0,0,0,0,0,0
Citrobacter sp MGH 55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07E-05,9.07E-05,0,0,0,0,0,0
Clostridium sartagoforme AAU1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000213914,0,0,0,0,0,0,0,0,0,0
Clostridium sp KNHs214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000250918,0,0,0,0,0,0,0,0,0,0
Clostridium spiroforme DSM 1552,0,0,0,0,0,0.000137347,0,0.000142724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium ultunense DSM 10521,0.000564285,0,0.000417268,0,0,0,0,0,0,0,0,0,0,0,0,0.00064191,0,0,0.000421351,0.000380842,0,0,0,0,0,0.000500425
Collinsella stercoris DSM 13279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153522,0,0.000267637,0
Comamonas aquatica DA1877,0.000492925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comamonas aquatica NBRC 14918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000473111,0,0,0,0,0,0,0,0,0,0
Comamonas testosteroni strain DF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76E-06,0,0,0,0,0,0,0,0,0,0
Corynebacterium ammoniagenes DSM 20306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000280464,0,0.000420176,0
Corynebacterium efficiens YS 314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000234331,0,0.000349395,0
Corynebacterium freneyi DNF00450,0.000498287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000543909,0,0,0,0,0,0,0,0,0,0
Corynebacterium glutamicum strain ATCC 21831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65E-06,0,8.51E-06,0
Corynebacterium glutamicum strain B253,0.000125397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115067,0,0,0,0,0,0,0,0,0,0
Corynebacterium matruchotii ATCC 33806,0,0,0,0,0.000103182,0,0,0,0,0,0,0,0,0.000213152,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium nuruki S6 4,0.001007711,0,0.000425822,0,0,0,0,0,0,0,0,0,0,0,0,0.001020737,0,0,0,0,0,0,0,0,0,0.000489357
Cupriavidus sp HPCL,0,0,0,0,0,0,0.000146621,0,0,0,0,0,0,0,0,0,0,0.000611169,0,0,0,0,0,0,0,0
Deinococcus Thermus bacterium JGI 0000112 G17,4.81E-05,0,3.60E-05,1.33E-05,0,0,0,0,1.44E-05,0,0,0,1.38E-05,0,0,6.44E-05,0,0,0,2.46E-05,0,0,0,0,0,5.12E-05
Desmospora sp 8437,0.000849934,0,0.001542876,0.000479864,0,0,0,0,0,0.000405607,0,0,0,0,0,0.000825748,0,0,0.000410669,0.000472423,0.000617015,0,0,0.000278247,0,0.00223726
Desulfovibrio desulfuricans subsp desulfuricans str ATCC 27774,0.000569441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000608117,0,0,0,0,0,0,0,0,0,0
Desulfovibrio piger ATCC 29098,0,0,0,0,0,0,0.000280556,0,0,0,0,0,0,0,0,0,0,0.001190598,0,0,0,0,0,0,0,0
Devosia riboflavina,0.000962544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000950447,0,0,0,0,0,0,0,0,0,0
Devosia sp LC5,0.001396276,0,0,0,0,0,0,0,0.00034036,0,0,0,0.000417513,0,0,0.001430992,0,0,0,0,0,0,0,0,0,0
Dialister invisus DSM 15470,0,0,0,0,0.000123356,0,0,0,0,0,0,0,0,0.000291219,0,0,0,0,0,0,0,0,0,0,0,0
Dorea longicatena DSM 13814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000164062,0,0.00026897,0
Duganella zoogloeoides ATCC 25935,0,0,0,0,0.001286344,0,0,0,0,0,0.000200414,0,0,0.002306533,0.001297411,0,0,0,0,0,0,0,0,0,0,0
Dysgonomonas capnocytophagoides DSM 22835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000316376,0.00033621,0,0,0,0,0,0
Elizabethkingia miricola,0,0,0,0,0,0,0,0,0.000519671,0,0,0,0.000641868,0,0,0,0,0,0,0,0,0,0,0,0,0
Empedobacter falsenii strain 282,0.0021435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002155359,0,0,0,0,0,0,0,0,0,0
Enhydrobacter aerosaccus SK60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001261388,0,0,0,0,0.000890924,0,0,0,0
Enorma massiliensis phI,0,0,0,0,0,0,0,0.000169506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae Family 9 2186 Node 35968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-06,0,0,0,0,3.01E-06,9.93E-07,0,0,0
Enterobacteriaceae Family 9 3895 Node 35729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000169859,0.00017961,0,0,0,0,0,0
Enterobacteriaceae Family 9 5356 Node 28697,0,0,0,0,1.81E-06,0,0,0,0,0,0,0,0,2.81E-06,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae Family 9 593 Node 36513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31E-05,0,0,0,0,0,0,0
Enterobacteriaceae Family 9 6277 Node 35582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64E-06,0,0,0,0,0,0,0
Enterococcus cecorum DSM 20682 ATCC 43198,0,0,0,0,0,0.008399036,0.005300608,0.007941839,0,0,0,0,0,0,0,0,0,0.021053181,0,0,0,0,0.000372424,0,0.000621237,0
Enterococcus sp 7L76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98E-05,0,0,0,0,1.22E-05,0,0,0,0
Erysipelotrichaceae bacterium 21 3,0,0,0,0,0,0,2.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia coli strain 912,0,0,0,0,0,0,0,0,0,0,0,0,1.08E-05,0,0,0,0,1.22E-05,0,0,0,0,9.55E-06,0,2.12E-05,0
Escherichia coli strain DH5a,0,0,0,0,3.09E-05,0,0,0,0,0,0,0,0,3.99E-05,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia coli strain blood 2011 0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001025383,0,0,0,0,0,0,0,0,0,0,0
Ethanoligenens harbinense YUAN 3,0.000783111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000800065,0,0,0,0,0,0,0,0,0,0
Eubacterium sp ER2,0,0,0,0,0,0.000293223,0.000182843,0.000283211,0,0,0,0,0,0,0,0,0,0.000767226,0,0,0,0,0,0,0,0
Ewingella americana ATCC 33852,0,0,0,0,0,0,0,0,0,0,0.017308012,0,0,0,0.105671047,0,0,0,0,0,0,0,0,0,0,0
Faecalitalea cylindroides ATCC 27803,0,0,0,0,0,0.000146072,7.47E-05,0.000129164,0,0,0,0,0,0,0,0,0,0.000352782,0,0,0,0,0,0,0,0
Firmicutes bacterium JGI 0000119 C08,0,0,0.000148678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06E-05,0,0,0,0,0,0.000220217
Flavobacterium hibernum strain DSM 12611,0,0,0,0,0,0,0,0,0,0,0.000298685,0,0,0,0.002021237,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium johnsoniae UW101,0,0,0,0,0,0,0,0,0,0,9.70E-05,0,0,0,0.000613822,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium reichenbachii,0,0,0,0,0,0,0,0,0,0,0.000104803,0,0,0,0.000726428,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium sp Fl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000675174,0,0,0,0,0,0,0,0,0,0,0
