Name,UFCO_2,HANF_1,FICO_1,WOCA_1,SCHO_1,EGSH_2,EGWA_2,EGSH_1,TWCA_2,SWCA_1,HOSP_2,HANF_2,TWCA_1,SCHO_2,HOSP_1,UFCO_1,NURH_1,EGWA_1,RWCO_1,RWCO_2,WOCA_2,NURH_2,RFSC_2,SWCA_2,RFSC_1,FICO_2
MDR-Efflux-pump adeJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004342546,0,0,0,0,0.024930166,0,0,0,0
MDR-Efflux-pump adeK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001194503,0,0,0,0,0.010495213,0,0,0,0
MDR-transporter emrD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000238758,0,0,0,0,0.000963407,0,0,0,0
Penicillin-binding-protein PBP2b,0,0.001970426,0,0,0.004414497,0,0,0,0,0,0,0.001392725,0,0.003726545,0,0,0,0,0,0,0,0,0,0,0,0
Positive-regulator-of-efflux-complex adeR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000335687,0,0,0,0,0.001582355,0,0,0,0
Repressor-of-efflux-complex adeN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384864,0,0,0,0,0.003891302,0,0,0,0
Sulphonamide sul2,0.000602324,0,0.001225703,0,0,0,0.003369991,0,0.000422369,0,0,0,0.003035712,0,0,0.003729801,0,0.001283161,0.043243699,0.047337388,0,0,0.000483232,0,0.007213027,0.012602142
Tetracycline tet 39,0.000356807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002298364,0,0,0,0,0,0,0,0,0,0
Tetracycline tet31,0,0,0,0,0,0,1.19E-05,0,3.42E-06,0,0,0,1.94E-05,0,0,0,0,1.63E-05,0,0,0,0,0,0,0,3.55E-05
Tetracycline tet40,0,0,0,0,0,0,0.000115155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetracycline tetH,0.001658303,0,0.002108676,0,0,0,0.003947462,0,0,0,0,0,0,0,0,0.009549635,0,0.002330466,0,0,0,0,0.00056024,0,0.011306587,0.013850683
Tetracycline tetL,0.002346431,0,0,0,0,0,0.0069686,0,0,0,0,0,0,0,0,0.015288824,0,0.003174582,0,0,0,0,0,0,0,0
Tetracycline tetM,0,0,0,0,0,0.006037902,0.009361463,0.012643249,0,0,0,0,0,0,0,0,0,0.004777227,0,0,0,0,0.000642964,0,0,0
Tetracycline tetO,0,0,0,0,0,0.001255045,0.002284481,0.003197384,0,0,0,0,0,0,0,0,0,0.001217827,0,0,0,0,8.27E-05,0,0.002208472,0
Tetracycline tetQ,0,0,0,0,0,0,0.011170081,0,0,0,0,0,0,0,0,0,0,0.005250246,0,0,0,0,0,0,0,0
Tetracycline tetS,0,0,0,0,0.024950934,0,0,0,0,0,0,0,0,0.019834537,0,0,0,0,0,0,0,0,0,0,0,0
Tetracycline tetW,0.004662278,0,0,0,0,0.008124305,0.013918572,0.014733042,0,0,0,0,0,0,0,0.026246375,0,0.006590901,0,0,0,0,0.000676592,0,0.010245732,0
Tetracycline tetX,0,0,0.000370656,0,0,0,0.002795907,0,0.000399823,0,0,0,0.002190845,0,0,0.002607501,0,0.001257681,0,0,0,0,0.00153881,0,0.017178756,0
Transcriptional-activator mexT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087022,0,0,0,0,0.004924677,0,0,0,0
Transporter-gene lsaE,0.000510574,0,0,0,0,0.000678481,0.000801008,0,0,0,0,0,0,0,0,0.006202894,0,0.000378938,0,0,0,0,0,0,0,0
