"resource","consumer"
"Fragilaria vaucheriae","Brachyptera risi"
"Gomphonema angustatum","Brachyptera risi"
"Tabellaria flocculosa","Brachyptera risi"
"Hannaea arcus","Brachyptera risi"
"Diatoma hyemale","Brachyptera risi"
"Synedra miniscula","Brachyptera risi"
"Eunotia vanheurckii","Chironomidae"
"Eunotia incisa","Chironomidae"
"Eunotia sp.","Chironomidae"
"Achnanthes minutissima","Chironomidae"
"Achnanthes saxonica","Chironomidae"
"Achnanthes modestifor.","Chironomidae"
"Fragilaria vaucheriae","Chironomidae"
"Gomphonema angustatum","Chironomidae"
"Tabellaria flocculosa","Chironomidae"
"Hannaea arcus","Chironomidae"
"Diatoma hyemale","Chironomidae"
"Synedra miniscula","Chironomidae"
"Leuctra hippopus","Chloroperla tripunctata"
"Leuctra inermis","Chloroperla tripunctata"
"Simuliidae grc","Chloroperla tripunctata"
"Simuliidae grd","Chloroperla tripunctata"
"Simuliidae undet.","Chloroperla tripunctata"
"Siphonoperla torrentium","Chloroperla tripunctata"
"Chironomidae","Chloroperla tripunctata"
"Chloroperla tripunctata","Chloroperla tripunctata"
"Leuctra hippopus","Dicranota sp."
"Leuctra inermis","Dicranota sp."
"Simuliidae grc","Dicranota sp."
"Simuliidae grd","Dicranota sp."
"Simuliidae undet.","Dicranota sp."
"Chironomidae","Dicranota sp."
"Dicranota sp.","Dicranota sp."
"Eunotia vanheurckii","Ecdyonurus sp."
"Eunotia incisa","Ecdyonurus sp."
"Eunotia sp.","Ecdyonurus sp."
"Achnanthes minutissima","Ecdyonurus sp."
"Achnanthes saxonica","Ecdyonurus sp."
"Achnanthes modestifor.","Ecdyonurus sp."
"Fragilaria vaucheriae","Ecdyonurus sp."
"Gomphonema angustatum","Ecdyonurus sp."
"Tabellaria flocculosa","Ecdyonurus sp."
"Hannaea arcus","Ecdyonurus sp."
"Diatoma hyemale","Ecdyonurus sp."
"Synedra miniscula","Ecdyonurus sp."
"Eunotia vanheurckii","Elmis aenea Ad."
"Eunotia incisa","Elmis aenea Ad."
"Eunotia sp.","Elmis aenea Ad."
"Achnanthes minutissima","Elmis aenea Ad."
"Achnanthes saxonica","Elmis aenea Ad."
"Achnanthes modestifor.","Elmis aenea Ad."
"Fragilaria vaucheriae","Elmis aenea Ad."
"Gomphonema angustatum","Elmis aenea Ad."
"Tabellaria flocculosa","Elmis aenea Ad."
"Hannaea arcus","Elmis aenea Ad."
"Diatoma hyemale","Elmis aenea Ad."
"Synedra miniscula","Elmis aenea Ad."
"FPOM","Amphinemura sulcicollis"
"FPOM","Baetis rhodani"
"FPOM","Brachyptera risi"
"FPOM","Chironomidae"
"FPOM","Ecdyonurus sp."
"FPOM","Elmis aenea Ad."
"FPOM","Elmis aenea Lv."
"FPOM","Leuctra hippopus"
"FPOM","Leuctra inermis"
"FPOM","Limnius volckmari"
"FPOM","Protonemura meyeri"
"FPOM","Rhithrogena semicolorata"
"FPOM","Rhyacophila septentrionis"
"FPOM","Simuliidae grc"
"FPOM","Simuliidae grd"
"FPOM","Simuliidae undet."
"FPOM","Tipulidae undet."
"CPOM","Amphinemura sulcicollis"
"CPOM","Baetis rhodani"
"CPOM","Brachyptera risi"
"CPOM","Chironomidae"
"CPOM","Ecdyonurus sp."
"CPOM","Elmis aenea Ad."
"CPOM","Leuctra hippopus"
"CPOM","Leuctra inermis"
"CPOM","Limnius volckmari"
"CPOM","Protonemura meyeri"
"CPOM","Rhithrogena semicolorata"
"CPOM","Rhyacophila septentrionis"
"CPOM","Tipulidae undet."
"Eunotia vanheurckii","Leuctra sp."
"Eunotia incisa","Leuctra sp."
"Eunotia sp.","Leuctra sp."
"Achnanthes minutissima","Leuctra sp."
"Achnanthes saxonica","Leuctra sp."
"Achnanthes modestifor.","Leuctra sp."
"Fragilaria vaucheriae","Leuctra sp."
"Gomphonema angustatum","Leuctra sp."
"Eunotia vanheurckii","Baetis sp."
"Eunotia incisa","Baetis sp."
"Eunotia sp.","Baetis sp."
"Achnanthes minutissima","Baetis sp."
"Achnanthes saxonica","Baetis sp."
"Achnanthes modestifor.","Baetis sp."
"Fragilaria vaucheriae","Baetis sp."
