"resource","consumer"
"Chironomidae undet.","Chub"
"Cocconeis placentula","Chub"
"Cymbella lanceolata","Chub"
"Cymbella minuta","Chub"
"Cymbella silesiaca","Chub"
"Cymbella solea","Chub"
"Diatoma vulgaris","Chub"
"Dicranota sp.","Chub"
"Ecdyonurus dispar","Chub"
"Fragilaria elliptica","Chub"
"Fragilaria leptostauron","Chub"
"Fragilaria vaucheriae","Chub"
"Gomphonema olivaceum","Chub"
"Gongrosira incrustans","Chub"
"Hydropsyche contubernalis","Chub"
"Hydracarina sp.","Chub"
"Hydropsyche instabilis","Chub"
"Hydropsyche pellucidula","Chub"
"Leuctra geniculata","Chub"
"Melosira varians","Chub"
"Navicula capitatoradiata","Chub"
"Navicula cryptotenella","Chub"
"Navicula gregoria","Chub"
"Navicula lanceolata","Chub"
"Navicula menisculus","Chub"
"Navicula pseudogregaria","Chub"
"Navicula tripunctata","Chub"
"Nitzschia amphibia","Chub"
"Nitzschia dissipata","Chub"
"Nitzschia perminuta","Chub"
"Plectrocnemia conspersa","Chub"
"Rhithrogena semicolorata","Chub"
"Rhoicosphenia curvata","Chub"
"Seratella ignita","Chub"
"Sericostoma personatum","Chub"
"Simuliidae grc","Chub"
"Simuliidae grd","Chub"
"Surirella ovalis","Chub"
"Synedra ulva","Chub"
"Tabellaria flocculosa","Chub"
"Tanypodinae undet.","Chub"
"Tipulidae undet.","Chub"
"Achnanthes devei","leuciscus"
"Achnanthes elliptica","leuciscus"
"Achnanthes lanceolata","leuciscus"
"Amphora ovalis","leuciscus"
"Amphora pediculus","leuciscus"
"Anabolia nervosa","leuciscus"
"Ancylus fluviatilis","leuciscus"
"Annelidae undet.","leuciscus"
"Baetis niger","leuciscus"
"Caenis rivulorum","leuciscus"
"Ceratopogonidae undet.","leuciscus"
"Chironomidae undet.","leuciscus"
"Cocconeis placentula","leuciscus"
"Cymbella lanceolata","leuciscus"
"Cymbella minuta","leuciscus"
"Cymbella silesiaca","leuciscus"
"Cymbella solea","leuciscus"
"Diatoma vulgaris","leuciscus"
"Dicranota sp.","leuciscus"
"Ecdyonurus dispar","leuciscus"
"Fragilaria elliptica","leuciscus"
"Fragilaria leptostauron","leuciscus"
"Fragilaria vaucheriae","leuciscus"
"Gomphonema olivaceum","leuciscus"
"Gongrosira incrustans","leuciscus"
"Hydracarina sp.","leuciscus"
"Hydropsyche contubernalis","leuciscus"
"Hydropsyche instabilis","leuciscus"
"Hydropsyche pellucidula","leuciscus"
"Hydropsyche siltalai","leuciscus"
"Leuctra geniculata","leuciscus"
"Melosira varians","leuciscus"
"Navicula capitatoradiata","leuciscus"
"Navicula cryptotenella","leuciscus"
"Navicula gregoria","leuciscus"
"Navicula lanceolata","leuciscus"
"Navicula menisculus","leuciscus"
"Navicula pseudogregaria","leuciscus"
"Navicula tripunctata","leuciscus"
"Nitzschia amphibia","leuciscus"
"Nitzschia dissipata","leuciscus"
"Nitzschia perminuta","leuciscus"
"Plectrocnemia conspersa","leuciscus"
"Rhithrogena semicolorata","leuciscus"
"Rhoicosphenia curvata","leuciscus"
"Seratella ignita","leuciscus"
"Sericostoma personatum","leuciscus"
"Simuliidae grc","leuciscus"
"Simuliidae grd","leuciscus"
"Surirella ovalis","leuciscus"
"Synedra ulva","leuciscus"
"Tabellaria flocculosa","leuciscus"
"Tanypodinae undet.","leuciscus"
"Tipulidae undet.","leuciscus"
"Annelidae undet.","rutilus rutilus"
"Caenis rivulorum","rutilus rutilus"
"Chironomidae undet.","rutilus rutilus"
"Hydracarina sp.","rutilus rutilus"
"Hydropsyche contubernalis","rutilus rutilus"
"Hydropsyche instabilis","rutilus rutilus"
"Hydropsyche pellucidula","rutilus rutilus"
"Hydropsyche siltalai","rutilus rutilus"
"Plectrocnemia conspersa","rutilus rutilus"
"Sericostoma personatum","rutilus rutilus"
"Ancylus fluviatilis","Plath"
"Baetis niger","Plath"
"Caenis rivulorum","Plath"
"Chironomidae undet.","Plath"
"Elmis aenea Lv.","Plath"
"Gammarus pulex","Plath"
"Hydracarina sp.","Plath"
"Hydropsyche contubernalis","Plath"
"Hydropsyche instabilis","Plath"
"Hydropsyche pellucidula","Plath"
"Hydropsyche siltalai","Plath"
"Leuctra geniculata","Plath"
"Plectrocnemia conspersa","Plath"
"Simuliidae grc","Plath"
"Simuliidae grd","Plath"
"Achnanthes devei","gobio gobio"
"Achnanthes elliptica","gobio gobio"
"Achnanthes lanceolata","gobio gobio"
"Amphora ovalis","gobio gobio"
"Amphora pediculus","gobio gobio"
"Anabolia nervosa","gobio gobio"
"Ancylus fluviatilis","gobio gobio"
"Annelidae undet.","gobio gobio"
"Baetis niger","gobio gobio"
"Caenis rivulorum","gobio gobio"
"Ceratopogonidae undet.","gobio gobio"
"Chironomidae undet.","gobio gobio"
"Cocconeis placentula","gobio gobio"
"Cymbella lanceolata","gobio gobio"
"Cymbella minuta","gobio gobio"
"Cymbella silesiaca","gobio gobio"
"Cymbella solea","gobio gobio"
"Diatoma vulgaris","gobio gobio"
"Dicranota sp.","gobio gobio"
"Ecdyonurus dispar","gobio gobio"
"Fragilaria elliptica","gobio gobio"
"Fragilaria leptostauron","gobio gobio"
"Fragilaria vaucheriae","gobio gobio"
"Gomphonema olivaceum","gobio gobio"
"Gongrosira incrustans","gobio gobio"
"Hydracarina sp.","gobio gobio"
"Hydropsyche contubernalis","gobio gobio"
"Hydropsyche instabilis","gobio gobio"
"Hydropsyche pellucidula","gobio gobio"
"Hydropsyche siltalai","gobio gobio"
"Leuctra geniculata","gobio gobio"
"Melosira varians","gobio gobio"
"Navicula capitatoradiata","gobio gobio"
"Navicula cryptotenella","gobio gobio"
"Navicula gregoria","gobio gobio"
"Navicula lanceolata","gobio gobio"
"Navicula menisculus","gobio gobio"
"Navicula pseudogregaria","gobio gobio"
"Navicula tripunctata","gobio gobio"
"Nitzschia amphibia","gobio gobio"
"Nitzschia dissipata","gobio gobio"
"Nitzschia perminuta","gobio gobio"
"Plectrocnemia conspersa","gobio gobio"
"Rhithrogena semicolorata","gobio gobio"
"Rhoicosphenia curvata","gobio gobio"
"Seratella ignita","gobio gobio"
"Sericostoma personatum","gobio gobio"
"Simuliidae grc","gobio gobio"
"Simuliidae grd","gobio gobio"
"Surirella ovalis","gobio gobio"
"Synedra ulva","gobio gobio"
"Tabellaria flocculosa","gobio gobio"
"Tanypodinae undet.","gobio gobio"
"Tipulidae undet.","gobio gobio"
"Ancylus fluviatilis","Anguilla"
"Asellus aquaticus","Anguilla"
"Baetis niger","Anguilla"
"Bithynia leachi","Anguilla"
"Chironomidae undet.","Anguilla"
"Erpobdella octoculata","Anguilla"
"Gammarus pulex","Anguilla"
"Hydropsyche contubernalis","Anguilla"
"Hydropsyche instabilis","Anguilla"
"Hydropsyche pellucidula","Anguilla"
"Hydropsyche siltalai","Anguilla"
"Leuctra geniculata","Anguilla"
"Salmo trutta","Anguilla"
"Seratella ignita","Anguilla"
"Sericostoma personatum","Anguilla"
"Simuliidae grc","Anguilla"
"Simuliidae grd","Anguilla"
"Achnanthes devei","Anabolia nervosa"
"Achnanthes elliptica","Anabolia nervosa"
"Achnanthes lanceolata","Anabolia nervosa"
"Amphora ovalis","Anabolia nervosa"
"Amphora pediculus","Anabolia nervosa"
"Cocconeis placentula","Anabolia nervosa"
"Cymbella lanceolata","Anabolia nervosa"
"Cymbella minuta","Anabolia nervosa"
"Cymbella silesiaca","Anabolia nervosa"
"Cymbella solea","Anabolia nervosa"
"Diatoma vulgaris","Anabolia nervosa"
"Fragilaria elliptica","Anabolia nervosa"
"Fragilaria leptostauron","Anabolia nervosa"
"Fragilaria vaucheriae","Anabolia nervosa"
"Gomphonema olivaceum","Anabolia nervosa"
"Gongrosira incrustans","Anabolia nervosa"
"Melosira varians","Anabolia nervosa"
"Navicula capitatoradiata","Anabolia nervosa"
"Navicula cryptotenella","Anabolia nervosa"
"Navicula gregoria","Anabolia nervosa"
"Navicula lanceolata","Anabolia nervosa"
"Navicula menisculus","Anabolia nervosa"
"Navicula pseudogregaria","Anabolia nervosa"
"Navicula tripunctata","Anabolia nervosa"
"Nitzschia amphibia","Anabolia nervosa"
"Nitzschia dissipata","Anabolia nervosa"
"Nitzschia perminuta","Anabolia nervosa"
"Rhoicosphenia curvata","Anabolia nervosa"
"Surirella ovalis","Anabolia nervosa"
"Synedra ulva","Anabolia nervosa"
"Tabellaria flocculosa","Anabolia nervosa"
"Achnanthes devei","Ancylus fluviatilis"
"Achnanthes elliptica","Ancylus fluviatilis"
"Achnanthes lanceolata","Ancylus fluviatilis"
"Amphora ovalis","Ancylus fluviatilis"
"Amphora pediculus","Ancylus fluviatilis"
"Cocconeis placentula","Ancylus fluviatilis"
"Cymbella lanceolata","Ancylus fluviatilis"
"Cymbella minuta","Ancylus fluviatilis"
"Cymbella silesiaca","Ancylus fluviatilis"
"Cymbella solea","Ancylus fluviatilis"
"Diatoma vulgaris","Ancylus fluviatilis"
"Fragilaria elliptica","Ancylus fluviatilis"
"Fragilaria leptostauron","Ancylus fluviatilis"
"Fragilaria vaucheriae","Ancylus fluviatilis"
"Gomphonema olivaceum","Ancylus fluviatilis"
"Gongrosira incrustans","Ancylus fluviatilis"
"Melosira varians","Ancylus fluviatilis"
"Navicula capitatoradiata","Ancylus fluviatilis"
"Navicula cryptotenella","Ancylus fluviatilis"
"Navicula gregoria","Ancylus fluviatilis"
"Navicula lanceolata","Ancylus fluviatilis"
"Navicula menisculus","Ancylus fluviatilis"
"Navicula pseudogregaria","Ancylus fluviatilis"
"Navicula tripunctata","Ancylus fluviatilis"
"Nitzschia amphibia","Ancylus fluviatilis"
"Nitzschia dissipata","Ancylus fluviatilis"
"Nitzschia perminuta","Ancylus fluviatilis"
"Rhoicosphenia curvata","Ancylus fluviatilis"
"Surirella ovalis","Ancylus fluviatilis"
"Synedra ulva","Ancylus fluviatilis"
"Tabellaria flocculosa","Ancylus fluviatilis"
"Achnanthes devei","Annelidae undet."
"Achnanthes elliptica","Annelidae undet."
"Achnanthes lanceolata","Annelidae undet."
"Amphora ovalis","Annelidae undet."
"Amphora pediculus","Annelidae undet."
"Cocconeis placentula","Annelidae undet."
"Cymbella lanceolata","Annelidae undet."
"Cymbella minuta","Annelidae undet."
"Cymbella silesiaca","Annelidae undet."
"Cymbella solea","Annelidae undet."
"Diatoma vulgaris","Annelidae undet."
"Fragilaria elliptica","Annelidae undet."
"Fragilaria leptostauron","Annelidae undet."
"Fragilaria vaucheriae","Annelidae undet."
"Gomphonema olivaceum","Annelidae undet."
"Gongrosira incrustans","Annelidae undet."
"Melosira varians","Annelidae undet."
"Navicula capitatoradiata","Annelidae undet."
"Navicula cryptotenella","Annelidae undet."
"Navicula gregoria","Annelidae undet."
"Navicula lanceolata","Annelidae undet."
"Navicula menisculus","Annelidae undet."
"Navicula pseudogregaria","Annelidae undet."
"Navicula tripunctata","Annelidae undet."
"Nitzschia amphibia","Annelidae undet."
"Nitzschia dissipata","Annelidae undet."
"Nitzschia perminuta","Annelidae undet."
"Rhoicosphenia curvata","Annelidae undet."
"Surirella ovalis","Annelidae undet."
"Synedra ulva","Annelidae undet."
"Tabellaria flocculosa","Annelidae undet."
"Annelidae undet.","Aphelocheirus aestivalis"
"Baetis niger","Aphelocheirus aestivalis"
"Chironomidae undet.","Aphelocheirus aestivalis"
"Achnanthes devei","Asellus aquaticus"
"Achnanthes elliptica","Asellus aquaticus"
"Achnanthes lanceolata","Asellus aquaticus"
"Amphora ovalis","Asellus aquaticus"
"Amphora pediculus","Asellus aquaticus"
"Cocconeis placentula","Asellus aquaticus"
"Cymbella lanceolata","Asellus aquaticus"
"Cymbella minuta","Asellus aquaticus"
"Cymbella silesiaca","Asellus aquaticus"
"Cymbella solea","Asellus aquaticus"
"Diatoma vulgaris","Asellus aquaticus"
"Fragilaria elliptica","Asellus aquaticus"
"Fragilaria leptostauron","Asellus aquaticus"
"Fragilaria vaucheriae","Asellus aquaticus"
"Gomphonema olivaceum","Asellus aquaticus"
"Gongrosira incrustans","Asellus aquaticus"
"Melosira varians","Asellus aquaticus"
"Navicula capitatoradiata","Asellus aquaticus"
"Navicula cryptotenella","Asellus aquaticus"
"Navicula gregoria","Asellus aquaticus"
"Navicula lanceolata","Asellus aquaticus"
"Navicula menisculus","Asellus aquaticus"
"Navicula pseudogregaria","Asellus aquaticus"
"Navicula tripunctata","Asellus aquaticus"
"Nitzschia amphibia","Asellus aquaticus"
"Nitzschia dissipata","Asellus aquaticus"
"Nitzschia perminuta","Asellus aquaticus"
"Rhoicosphenia curvata","Asellus aquaticus"
"Surirella ovalis","Asellus aquaticus"
"Synedra ulva","Asellus aquaticus"
"Tabellaria flocculosa","Asellus aquaticus"
"Achnanthes devei","Baetis niger"
"Achnanthes elliptica","Baetis niger"
"Achnanthes lanceolata","Baetis niger"
"Amphora ovalis","Baetis niger"
"Amphora pediculus","Baetis niger"
"Cocconeis placentula","Baetis niger"
"Cymbella lanceolata","Baetis niger"
"Cymbella minuta","Baetis niger"
"Cymbella silesiaca","Baetis niger"
"Cymbella solea","Baetis niger"
"Diatoma vulgaris","Baetis niger"
"Fragilaria elliptica","Baetis niger"
"Fragilaria leptostauron","Baetis niger"
"Fragilaria vaucheriae","Baetis niger"
"Gomphonema olivaceum","Baetis niger"
"Gongrosira incrustans","Baetis niger"
"Melosira varians","Baetis niger"
"Navicula capitatoradiata","Baetis niger"
"Navicula cryptotenella","Baetis niger"
"Navicula gregoria","Baetis niger"
"Navicula lanceolata","Baetis niger"
"Navicula menisculus","Baetis niger"
"Navicula pseudogregaria","Baetis niger"
"Navicula tripunctata","Baetis niger"
"Nitzschia amphibia","Baetis niger"
"Nitzschia dissipata","Baetis niger"
"Nitzschia perminuta","Baetis niger"
"Rhoicosphenia curvata","Baetis niger"
"Surirella ovalis","Baetis niger"
"Synedra ulva","Baetis niger"
"Tabellaria flocculosa","Baetis niger"
"Achnanthes devei","Bithynia leachi"
"Achnanthes elliptica","Bithynia leachi"
"Achnanthes lanceolata","Bithynia leachi"
"Amphora ovalis","Bithynia leachi"
"Amphora pediculus","Bithynia leachi"
"Cocconeis placentula","Bithynia leachi"
"Cymbella lanceolata","Bithynia leachi"
"Cymbella minuta","Bithynia leachi"
"Cymbella silesiaca","Bithynia leachi"
"Cymbella solea","Bithynia leachi"
"Diatoma vulgaris","Bithynia leachi"
"Fragilaria elliptica","Bithynia leachi"
"Fragilaria leptostauron","Bithynia leachi"
"Fragilaria vaucheriae","Bithynia leachi"
"Gomphonema olivaceum","Bithynia leachi"
"Gongrosira incrustans","Bithynia leachi"
"Melosira varians","Bithynia leachi"
"Navicula capitatoradiata","Bithynia leachi"
"Navicula cryptotenella","Bithynia leachi"
"Navicula gregoria","Bithynia leachi"
"Navicula lanceolata","Bithynia leachi"
"Navicula menisculus","Bithynia leachi"
"Navicula pseudogregaria","Bithynia leachi"
"Navicula tripunctata","Bithynia leachi"
"Nitzschia amphibia","Bithynia leachi"
"Nitzschia dissipata","Bithynia leachi"
"Nitzschia perminuta","Bithynia leachi"
"Rhoicosphenia curvata","Bithynia leachi"
"Surirella ovalis","Bithynia leachi"
"Synedra ulva","Bithynia leachi"
"Tabellaria flocculosa","Bithynia leachi"
"Achnanthes devei","Caenis rivulorum"
"Achnanthes elliptica","Caenis rivulorum"
"Achnanthes lanceolata","Caenis rivulorum"
"Amphora ovalis","Caenis rivulorum"
"Amphora pediculus","Caenis rivulorum"
"Cocconeis placentula","Caenis rivulorum"
"Cymbella lanceolata","Caenis rivulorum"
"Cymbella minuta","Caenis rivulorum"
"Cymbella silesiaca","Caenis rivulorum"
"Cymbella solea","Caenis rivulorum"
"Diatoma vulgaris","Caenis rivulorum"
"Fragilaria elliptica","Caenis rivulorum"
"Fragilaria leptostauron","Caenis rivulorum"
"Fragilaria vaucheriae","Caenis rivulorum"
"Gomphonema olivaceum","Caenis rivulorum"
"Gongrosira incrustans","Caenis rivulorum"
"Melosira varians","Caenis rivulorum"
"Navicula capitatoradiata","Caenis rivulorum"
"Navicula cryptotenella","Caenis rivulorum"
"Navicula gregoria","Caenis rivulorum"
"Navicula lanceolata","Caenis rivulorum"
"Navicula menisculus","Caenis rivulorum"
"Navicula pseudogregaria","Caenis rivulorum"
"Navicula tripunctata","Caenis rivulorum"
"Nitzschia amphibia","Caenis rivulorum"
"Nitzschia dissipata","Caenis rivulorum"
"Nitzschia perminuta","Caenis rivulorum"
"Rhoicosphenia curvata","Caenis rivulorum"
"Surirella ovalis","Caenis rivulorum"
"Synedra ulva","Caenis rivulorum"
"Tabellaria flocculosa","Caenis rivulorum"
"Chironomidae undet.","Calopteryx splendens"
"Leuctra geniculata","Calopteryx splendens"
"Simuliidae grc","Calopteryx splendens"
"Simuliidae grd","Calopteryx splendens"
"Tanypodinae undet.","Calopteryx splendens"
"Achnanthes devei","Ceratopogonidae undet."
"Achnanthes elliptica","Ceratopogonidae undet."
"Achnanthes lanceolata","Ceratopogonidae undet."
"Amphora ovalis","Ceratopogonidae undet."
"Amphora pediculus","Ceratopogonidae undet."
"Cocconeis placentula","Ceratopogonidae undet."
"Cymbella lanceolata","Ceratopogonidae undet."
"Cymbella minuta","Ceratopogonidae undet."
"Cymbella silesiaca","Ceratopogonidae undet."
"Cymbella solea","Ceratopogonidae undet."
"Diatoma vulgaris","Ceratopogonidae undet."
"Fragilaria elliptica","Ceratopogonidae undet."
"Fragilaria leptostauron","Ceratopogonidae undet."
"Fragilaria vaucheriae","Ceratopogonidae undet."
"Gomphonema olivaceum","Ceratopogonidae undet."
"Gongrosira incrustans","Ceratopogonidae undet."
"Melosira varians","Ceratopogonidae undet."
"Navicula capitatoradiata","Ceratopogonidae undet."
"Navicula cryptotenella","Ceratopogonidae undet."
"Navicula gregoria","Ceratopogonidae undet."
"Navicula lanceolata","Ceratopogonidae undet."
"Navicula menisculus","Ceratopogonidae undet."
"Navicula pseudogregaria","Ceratopogonidae undet."
"Navicula tripunctata","Ceratopogonidae undet."
"Nitzschia amphibia","Ceratopogonidae undet."
"Nitzschia dissipata","Ceratopogonidae undet."
"Nitzschia perminuta","Ceratopogonidae undet."
"Rhoicosphenia curvata","Ceratopogonidae undet."
"Surirella ovalis","Ceratopogonidae undet."
"Synedra ulva","Ceratopogonidae undet."
"Tabellaria flocculosa","Ceratopogonidae undet."
"Achnanthes devei","Chironomidae undet."
"Achnanthes elliptica","Chironomidae undet."
"Achnanthes lanceolata","Chironomidae undet."
"Amphora ovalis","Chironomidae undet."
"Amphora pediculus","Chironomidae undet."
"Cocconeis placentula","Chironomidae undet."
"Cymbella lanceolata","Chironomidae undet."
"Cymbella minuta","Chironomidae undet."
"Cymbella silesiaca","Chironomidae undet."
"Cymbella solea","Chironomidae undet."
"Diatoma vulgaris","Chironomidae undet."
"Fragilaria elliptica","Chironomidae undet."
"Fragilaria leptostauron","Chironomidae undet."
"Fragilaria vaucheriae","Chironomidae undet."
"Gomphonema olivaceum","Chironomidae undet."
"Gongrosira incrustans","Chironomidae undet."
"Melosira varians","Chironomidae undet."
"Navicula capitatoradiata","Chironomidae undet."
"Navicula cryptotenella","Chironomidae undet."
"Navicula gregoria","Chironomidae undet."
"Navicula lanceolata","Chironomidae undet."
"Navicula menisculus","Chironomidae undet."
"Navicula pseudogregaria","Chironomidae undet."
"Navicula tripunctata","Chironomidae undet."
"Nitzschia amphibia","Chironomidae undet."
"Nitzschia dissipata","Chironomidae undet."
"Nitzschia perminuta","Chironomidae undet."
"Rhoicosphenia curvata","Chironomidae undet."
"Surirella ovalis","Chironomidae undet."
"Synedra ulva","Chironomidae undet."
"Tabellaria flocculosa","Chironomidae undet."
"Ceratopogonidae undet.","Dicranota sp."
"Chironomidae undet.","Dicranota sp."
"Dicranota sp.","Dicranota sp."
"Leuctra geniculata","Dicranota sp."
"Simuliidae grc","Dicranota sp."
"Simuliidae grd","Dicranota sp."
"Tanypodinae undet.","Dicranota sp."
"Achnanthes devei","Ecdyonurus dispar"
"Achnanthes elliptica","Ecdyonurus dispar"
"Achnanthes lanceolata","Ecdyonurus dispar"
"Amphora ovalis","Ecdyonurus dispar"
"Amphora pediculus","Ecdyonurus dispar"
"Cocconeis placentula","Ecdyonurus dispar"
"Cymbella lanceolata","Ecdyonurus dispar"
"Cymbella minuta","Ecdyonurus dispar"
"Cymbella silesiaca","Ecdyonurus dispar"
"Cymbella solea","Ecdyonurus dispar"
"Diatoma vulgaris","Ecdyonurus dispar"
"Fragilaria elliptica","Ecdyonurus dispar"
"Fragilaria leptostauron","Ecdyonurus dispar"
"Fragilaria vaucheriae","Ecdyonurus dispar"
"Gomphonema olivaceum","Ecdyonurus dispar"
"Gongrosira incrustans","Ecdyonurus dispar"
"Melosira varians","Ecdyonurus dispar"
"Navicula capitatoradiata","Ecdyonurus dispar"
"Navicula cryptotenella","Ecdyonurus dispar"
"Navicula gregoria","Ecdyonurus dispar"
"Navicula lanceolata","Ecdyonurus dispar"
"Navicula menisculus","Ecdyonurus dispar"
"Navicula pseudogregaria","Ecdyonurus dispar"
"Navicula tripunctata","Ecdyonurus dispar"
"Nitzschia amphibia","Ecdyonurus dispar"
"Nitzschia dissipata","Ecdyonurus dispar"
"Nitzschia perminuta","Ecdyonurus dispar"
"Rhoicosphenia curvata","Ecdyonurus dispar"
"Surirella ovalis","Ecdyonurus dispar"
"Synedra ulva","Ecdyonurus dispar"
"Tabellaria flocculosa","Ecdyonurus dispar"
"Achnanthes devei","Elmis aenea Lv."
"Achnanthes elliptica","Elmis aenea Lv."
"Achnanthes lanceolata","Elmis aenea Lv."
"Amphora ovalis","Elmis aenea Lv."
"Amphora pediculus","Elmis aenea Lv."
"Cocconeis placentula","Elmis aenea Lv."
"Cymbella lanceolata","Elmis aenea Lv."
"Cymbella minuta","Elmis aenea Lv."
"Cymbella silesiaca","Elmis aenea Lv."
"Cymbella solea","Elmis aenea Lv."
"Diatoma vulgaris","Elmis aenea Lv."
"Fragilaria elliptica","Elmis aenea Lv."
"Fragilaria leptostauron","Elmis aenea Lv."
"Fragilaria vaucheriae","Elmis aenea Lv."
"Gomphonema olivaceum","Elmis aenea Lv."
"Gongrosira incrustans","Elmis aenea Lv."
"Melosira varians","Elmis aenea Lv."
"Navicula capitatoradiata","Elmis aenea Lv."
"Navicula cryptotenella","Elmis aenea Lv."
"Navicula gregoria","Elmis aenea Lv."
"Navicula lanceolata","Elmis aenea Lv."
"Navicula menisculus","Elmis aenea Lv."
"Navicula pseudogregaria","Elmis aenea Lv."
"Navicula tripunctata","Elmis aenea Lv."
"Nitzschia amphibia","Elmis aenea Lv."
"Nitzschia dissipata","Elmis aenea Lv."
"Nitzschia perminuta","Elmis aenea Lv."
"Rhoicosphenia curvata","Elmis aenea Lv."
"Surirella ovalis","Elmis aenea Lv."
"Synedra ulva","Elmis aenea Lv."
"Tabellaria flocculosa","Elmis aenea Lv."
"Achnanthes devei","Empididae undet."
"Achnanthes elliptica","Empididae undet."
"Achnanthes lanceolata","Empididae undet."
"Amphora ovalis","Empididae undet."
"Amphora pediculus","Empididae undet."
"Cocconeis placentula","Empididae undet."
"Cymbella lanceolata","Empididae undet."
"Cymbella minuta","Empididae undet."
"Cymbella silesiaca","Empididae undet."
"Cymbella solea","Empididae undet."
"Diatoma vulgaris","Empididae undet."
"Fragilaria elliptica","Empididae undet."
"Fragilaria leptostauron","Empididae undet."
"Fragilaria vaucheriae","Empididae undet."
"Gomphonema olivaceum","Empididae undet."
"Gongrosira incrustans","Empididae undet."
"Melosira varians","Empididae undet."
"Navicula capitatoradiata","Empididae undet."
"Navicula cryptotenella","Empididae undet."
"Navicula gregoria","Empididae undet."
"Navicula lanceolata","Empididae undet."
"Navicula menisculus","Empididae undet."
"Navicula pseudogregaria","Empididae undet."
"Navicula tripunctata","Empididae undet."
"Nitzschia amphibia","Empididae undet."
"Nitzschia dissipata","Empididae undet."
"Nitzschia perminuta","Empididae undet."
"Rhoicosphenia curvata","Empididae undet."
"Surirella ovalis","Empididae undet."
"Synedra ulva","Empididae undet."
"Tabellaria flocculosa","Empididae undet."
"Achnanthes devei","Ephemera danica"
"Achnanthes elliptica","Ephemera danica"
"Achnanthes lanceolata","Ephemera danica"
"Amphora ovalis","Ephemera danica"
"Amphora pediculus","Ephemera danica"
"Cocconeis placentula","Ephemera danica"
"Cymbella lanceolata","Ephemera danica"
"Cymbella minuta","Ephemera danica"
